size	original file	size	converted file	difference	percent missing	comment
1940	Fig. 01-06 (also 7.3).csv	1940	converted/Fig. 01-06 (also 7.3).csv	0	0%	
1996	Fig. 01-07.csv	1996	converted/Fig. 01-07.csv	0	0%	
645	Fig. 02-01.csv	215	converted/Fig. 02-01.csv	430	67%	missing data
1544	Fig. 02-02.csv	1544	converted/Fig. 02-02.csv	0	0%	
137	Fig. 02-09.csv	137	converted/Fig. 02-09.csv	0	0%	
355	Fig. 02-11.csv	0	converted/Fig. 02-11.csv	355	100%	missing data
128	Fig. 02-15.csv	128	converted/Fig. 02-15.csv	0	0%	
291	Fig. 03-01.csv	291	converted/Fig. 03-01.csv	0	0%	
371	Fig. 03-02.csv	371	converted/Fig. 03-02.csv	0	0%	
18745	Fig. 03-03 fortis.csv	18745	converted/Fig. 03-03 fortis.csv	0	0%	
8445	Fig. 03-03scand.csv	8445	converted/Fig. 03-03scand.csv	0	0%	
242	Fig. 03-04.csv	242	converted/Fig. 03-04.csv	0	0%	
1099	Fig. 04-04.csv	1099	converted/Fig. 04-04.csv	0	0%	
1033	Fig. 04-05.csv	1033	converted/Fig. 04-05.csv	0	0%	
344	Fig. 04-06.csv	344	converted/Fig. 04-06.csv	0	0%	
350	Fig. 04-12.csv	350	converted/Fig. 04-12.csv	0	0%	
241	Fig. 04-13.csv	241	converted/Fig. 04-13.csv	0	0%	
180	Fig. 04-14.csv	180	converted/Fig. 04-14.csv	0	0%	
1455	Fig. 05-02.csv	214	converted/Fig. 05-02.csv	1241	85%	missing data
283	Fig. 05-03.csv	283	converted/Fig. 05-03.csv	0	0%	
1739	Fig. 05-04.csv	1739	converted/Fig. 05-04.csv	0	0%	
891	Fig. 05-05.csv	137	converted/Fig. 05-05.csv	754	85%	missing data
1104	Fig. 05-06.csv	200	converted/Fig. 05-06.csv	904	82%	missing data
918	Fig. 05-07.csv	111	converted/Fig. 05-07.csv	807	88%	missing data
503	Fig. 05-08.csv	503	converted/Fig. 05-08.csv	0	0%	
451	Fig. 05-09.csv	451	converted/Fig. 05-09.csv	0	0%	
763	Fig. 05-14.csv	763	converted/Fig. 05-14.csv	0	0%	
705	Fig. 05-15.csv	705	converted/Fig. 05-15.csv	0	0%	
248	Fig. 06-01.csv	248	converted/Fig. 06-01.csv	0	0%	
105	Fig. 06-03.csv	105	converted/Fig. 06-03.csv	0	0%	
248	Fig. 06-04.csv	248	converted/Fig. 06-04.csv	0	0%	
387	Fig. 06-05.csv	387	converted/Fig. 06-05.csv	0	0%	
725	Fig. 06-06.csv	725	converted/Fig. 06-06.csv	0	0%	
179	Fig. 06-07.csv	179	converted/Fig. 06-07.csv	0	0%	
435	Fig. 06-09.csv	435	converted/Fig. 06-09.csv	0	0%	
